agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1.2045393306859795,2.0,1.2045393306859795,1.2045393306859795,1.2045393306859795,1.0,1.2045393306859795,1.2045393306859795
1.2045393306859795,2.0,1.2045393306859795,1.2045393306859795,1.2045393306859795,1.0,1.2045393306859795,1.2045393306859795
1.2045393306859795,2.0,1.0351499547716918,1.2045393306859795,1.2045393306859795,1.0,1.2045393306859795,1.2045393306859795
1.2045393306859795,2.0,1.0351499547716918,1.2045393306859795,1.2045393306859795,1.0,1.2045393306859795,1.2045393306859795
1.2045393306859795,2.0,1.0351499547716918,1.2045393306859795,1.2045393306859795,1.0,1.2045393306859795,1.6021057018011882
1.2045393306859795,2.0,1.0351499547716918,1.176853137762659,1.2045393306859795,1.0,1.2045393306859795,1.6021057018011882
1.1979915911214882,2.0,1.5618456185041754,1.4638773505839766,1.1979915911214882,1.0,1.1979915911214882,1.5828310160355339
1.1731293807918404,2.0,1.5792627974082905,1.4782575193324639,1.1731293807918404,1.0,1.1731293807918404,1.5698988037201629
1.1659641451235516,2.0,1.6732597467665151,1.4584640687900141,1.1659641451235516,1.0,1.1659641451235516,1.9397221152558561
1.1659641451235516,2.0,1.6732597467665151,1.458464068790014,1.1659641451235516,1.0,1.1659641451235516,1.9397221152558561
1.1426880575232907,2.0,1.308216368287852,1.502498894748149,1.1426880575232907,1.0,1.1426880575232907,1.8079282614790984
1.1445117793411337,2.0,1.3121557373227914,1.5089214238210158,1.1445117793411337,1.0,1.1445117793411337,1.7326244577869128
1.147677025290904,2.0,1.3121557373227914,1.3305317752415673,1.1445117793411337,1.0,1.1445117793411337,1.5542348092074643
1.1476770252909039,2.0,1.3121557373227914,1.4799635497489345,1.1445117793411337,1.0,1.079273761810298,1.5737547910500471
1.1322453045576468,1.8955035781438656,1.2795365797106966,2.0,1.1294108154839222,1.0,1.0709899373540466,1.5137994683625033
1.0,2.0,1.3686962085559466,1.934044641782609,1.2148325041839962,1.082199524370662,1.1549570206650803,1.6087919444910066
