agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.2260993524089094,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.2260993524089094,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.4077852881662873,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.4077852881662873,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.5851501803293946,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.5365517540375784,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.409993366037888,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.4285468202394842,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.4366517050664993,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.3429347236322788,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.3429347236322788,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.2987883291597762,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.2521325130915226,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.2521325130915226,1.0,1.0
2.0,1.0,1.0,1.0,1.0528632623311103,1.2521325130915226,1.0,1.0
2.0,1.0,1.0,1.0,1.079222174621766,1.2784914253821786,1.0,1.0
2.0,1.0,1.0,1.0,1.0803669964197757,1.282515842230851,1.0,1.0
2.0,1.0711804860687104,1.0,1.0,1.0803669964197757,1.282515842230851,1.0,1.0
2.0,1.1166759322772633,1.045495446208553,1.0,1.0803669964197757,1.328011288439404,1.0,1.0
2.0,1.1005586962530312,1.0392108523745092,1.0,1.0692653593934003,1.282700869647742,1.037035395217936,1.0
2.0,1.1005586962530312,1.0392108523745092,1.0,1.0692653593934003,1.282700869647742,1.0858319672580903,1.0
2.0,1.1005586962530312,1.0392108523745092,1.0,1.0692653593934003,1.282700869647742,1.0858319672580903,1.0
