scenario,communication_structure,network_topology,use_reputation,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std,tradeoff_score,pareto_efficient
sq3_global_information,global,fully_connected,False,1,2.4118801580599265,0.0,0.8039600526866422,0.0,6.431680421493137,0.0,19.295041264479412,0.0,0.42273099545791804,0.0,0.09143302444433621,0.0,-3.39504126447941,0.0,0.2916666666666667,0.0,1.968546354076522,0.0,4.0,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0,0.0,0.0,1.0,0.0,0.5588023273172888,True
sq3_global_reputation,global,fully_connected,True,1,2.4118801580599265,0.0,0.8039600526866422,0.0,6.431680421493137,0.0,19.295041264479412,0.0,0.42273099545791804,0.0,0.09143302444433621,0.0,-3.39504126447941,0.0,0.2916666666666667,0.0,1.968546354076522,0.0,4.0,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0,0.0,0.0,1.2524019881232153,0.0,0.5588023273172888,True
sq3_pure_ucb,none,fully_connected,False,1,0.466116700449415,0.0,0.15537223348313833,0.0,1.2429778678651067,0.0,3.72893360359532,0.0,5.551115123125783e-17,0.0,0.0,0.0,12.171066396404683,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,True
sq3_local_random_reputation,local,random_graph,True,1,1.789172153330736,0.0,0.596390717776912,0.0,4.771125742215296,0.0,14.313377226645889,0.0,0.667345400827694,0.0,0.20723822926892588,0.0,1.5866227733541134,0.0,0.4583333333333333,0.0,1.6352130207431887,0.0,3.3333333333333335,0.0,0.5,0.0,1.5,0.0,3,0.0,0.0,0.0,1.1175380106390846,0.0,-0.3200327369154651,False
sq3_local_information,local,ring_lattice,False,1,0.6817333997565509,0.0,0.22724446658551692,0.0,1.8179557326841354,0.0,5.453867198052407,0.0,0.17674011745713242,0.0,0.12962553801841525,0.0,10.446132801947595,0.0,0.5,0.0,1.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2,0.0,0.0,0.0,1.0,0.0,-0.5146770548777119,False
sq3_local_reputation,local,ring_lattice,True,1,0.6817333997565509,0.0,0.22724446658551692,0.0,1.8179557326841354,0.0,5.453867198052407,0.0,0.17674011745713242,0.0,0.12962553801841525,0.0,10.446132801947595,0.0,0.5,0.0,1.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2,0.0,0.0,0.0,1.107322729125085,0.0,-0.5146770548777119,False
