scenario,communication_structure,network_topology,use_reputation,reputation_learning_rate,malicious_agent_ratio,lying_probability,lie_magnitude,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std
sq2_global_clean_no_reputation,global,fully_connected,False,0.0,0.0,0.0,0.0,5,3376.647233178243,32.98790266797481,0.8441618082945601,0.008246975666993618,6.753294466356481,0.06597580533594895,27013.177865425943,263.90322134379846,310.5867642586633,14.501843335156234,0.050994015889519864,0.0022075445155325286,22586.822134574057,263.90322134379846,0.30675,0.0018098040294462923,2.012192685080054,0.004870954003039467,4.24165,0.012641795758514669,0.275,0.05,2.081127812445913,0.1421234511371148,4.4,0.4898979485566356,0.0,0.0,1.0,0.0
sq2_global_clean_reputation,global,fully_connected,True,0.25,0.0,0.0,0.0,5,3376.169121279571,28.920131310239515,0.8440422803198925,0.007230032827559753,6.75233824255914,0.057840262620478027,27009.352970236567,231.36105048191612,297.7672172991717,19.162218904267014,0.04874746336230227,0.003600272705385629,22590.647029763433,231.36105048191612,0.3060375,0.001701378117879735,2.0139067118198417,0.00523864031364443,4.24525,0.01548063306199068,0.25,0.0,2.15,0.1224744871391589,4.6,0.4898979485566356,0.0,0.0,1.7060012601076302,0.0237736175653978
sq2_global_malicious_no_reputation,global,fully_connected,False,0.0,0.25,0.7,1.0,5,3118.9710120834693,34.69972641295998,0.7797427530208677,0.00867493160323987,6.237942024166942,0.06939945282591896,24951.768096667754,277.59781130367986,304.1924918636729,60.5601294568085,0.054596654665964105,0.010725929717764213,24648.231903332246,277.59781130367986,0.34308125,0.007465980134918655,1.9000936904644807,0.007631566610580776,3.95235,0.004892851929090014,0.325,0.06123724356957945,1.924511249783653,0.22103940833516436,4,0.6324555320336759,0.1744375,0.0021292237435272072,1.0,0.0
sq2_global_malicious_reputation,global,fully_connected,True,0.25,0.25,0.7,1.0,5,3168.575345325421,37.65360393275469,0.7921438363313554,0.009413400983188646,6.3371506906508435,0.07530720786550917,25348.60276260337,301.22883146203753,303.2842085357849,68.95719564670216,0.053230749914544614,0.012657542587612853,24251.39723739663,301.22883146203753,0.33644375,0.009182085989850037,1.9189157983752665,0.012789953158903248,3.9956,0.01814841590883336,0.35,0.05,1.974511249783653,0.09765971071479698,4.2,0.4,0.17483125,0.001732118464482151,1.6373539981321497,0.02355938636186543
sq2_local_clean_no_reputation,local,ring_lattice,False,0.0,0.0,0.0,0.0,5,2857.222315449025,62.038599744589476,0.7143055788622563,0.015509649936147367,5.7144446308980505,0.12407719948917893,22857.7785235922,496.3087979567158,124.9011704595901,34.80162776129399,0.022848819441358838,0.005384777262308353,26742.2214764078,496.3087979567158,0.4106875,0.005700911385471621,1.7703216080249033,0.02756379677969421,3.81105,0.07484039684555403,0.375,0.0,1.8178946871213928,0.13341144270521096,3.8,0.4,0.0,0.0,1.0,0.0
sq2_local_clean_reputation,local,ring_lattice,True,0.25,0.0,0.0,0.0,5,2904.8920801741547,62.06432479624905,0.7262230200435388,0.015516081199062288,5.80978416034831,0.12412864959249831,23239.136641393237,496.5145983699924,186.1534542293886,42.346391059065624,0.03371011286679919,0.006678747925926786,26360.863358606763,496.5145983699924,0.4041875,0.00492938415271117,1.799821833003354,0.016377960336423386,3.88555,0.038474796945533,0.35,0.05,1.9367668746754796,0.22651610321459448,4.2,0.7483314773547883,0.0,0.0,1.188897169095052,0.005201704502895793
sq2_local_malicious_no_reputation,local,ring_lattice,False,0.0,0.25,0.7,1.0,5,2608.4843580741194,158.6898508752564,0.6521210895185302,0.03967246271881421,5.216968716148242,0.31737970175051367,20867.874864592955,1269.5188070020513,274.62200422856347,74.51262653146036,0.05753917520883247,0.012411420166971675,28732.125135407045,1269.5188070020513,0.44011875,0.018148512766202083,1.661130578533903,0.06338252171943133,3.5452500000000002,0.14614641630912478,0.45,0.1,1.7811278124459133,0.38437995575310446,4,1.0954451150103321,0.17378749999999998,0.0007398796354813446,1.0,0.0
sq2_local_malicious_reputation,local,ring_lattice,True,0.25,0.25,0.7,1.0,5,2635.1760752620817,92.39796498247793,0.6587940188155202,0.0230994912456192,5.270352150524162,0.1847959299649536,21081.408602096653,739.1837198598234,295.39753600567747,86.06104566441702,0.06041741161346721,0.017759608942383657,28518.591397903347,739.1837198598234,0.4363375,0.01278066777402496,1.6681451694866016,0.039542703948549966,3.55245,0.08745618903199483,0.475,0.05,1.5433834373377397,0.11467203838596107,3.2,0.4,0.17535625,0.0013543333230781889,1.1623257282643942,0.016756065243295398
