scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_global_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,2.4118801580599265,0.8039600526866422,19.295041264479412,6.431680421493137,0.42273099545791804,0.1787014945208423,0.09143302444433621,0.375,1.9056390622295662,4,0.2916666666666667,1.968546354076522,4.0,5.300000000000001,-3.39504126447941,0.0,1.0
sq2_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,1,2.4118801580599265,0.8039600526866422,19.295041264479412,6.431680421493137,0.42273099545791804,0.1787014945208423,0.09143302444433621,0.375,1.9056390622295662,4,0.2916666666666667,1.968546354076522,4.0,5.300000000000001,-3.39504126447941,0.0,1.2524019881232153
sq2_local_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,0.6817333997565509,0.22724446658551692,5.453867198052407,1.8179557326841354,0.17674011745713242,0.031237069118760966,0.12962553801841525,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,10.446132801947595,0.0,1.0
sq2_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,1,0.6817333997565509,0.22724446658551692,5.453867198052407,1.8179557326841354,0.17674011745713242,0.031237069118760966,0.12962553801841525,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,10.446132801947595,0.0,1.107322729125085
