scenario,communication_structure,use_reputation,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std
sq2_global_no_reputation,global,False,1,2.4118801580599265,0.0,0.8039600526866422,0.0,6.431680421493137,0.0,19.295041264479412,0.0,0.42273099545791804,0.0,0.09143302444433621,0.0,-3.39504126447941,0.0,0.2916666666666667,0.0,1.968546354076522,0.0,4.0,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0,0.0,0.0,1.0,0.0
sq2_global_reputation,global,True,1,2.4118801580599265,0.0,0.8039600526866422,0.0,6.431680421493137,0.0,19.295041264479412,0.0,0.42273099545791804,0.0,0.09143302444433621,0.0,-3.39504126447941,0.0,0.2916666666666667,0.0,1.968546354076522,0.0,4.0,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0,0.0,0.0,1.2524019881232153,0.0
sq2_local_no_reputation,local,False,1,0.6817333997565509,0.0,0.22724446658551692,0.0,1.8179557326841354,0.0,5.453867198052407,0.0,0.17674011745713242,0.0,0.12962553801841525,0.0,10.446132801947595,0.0,0.5,0.0,1.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2,0.0,0.0,0.0,1.0,0.0
sq2_local_reputation,local,True,1,0.6817333997565509,0.0,0.22724446658551692,0.0,1.8179557326841354,0.0,5.453867198052407,0.0,0.17674011745713242,0.0,0.12962553801841525,0.0,10.446132801947595,0.0,0.5,0.0,1.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2,0.0,0.0,0.0,1.107322729125085,0.0
