scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,1.1581087750826191,0.23162175501652382,9.264870200660953,1.8529740401321906,0.07595860638451946,0.005769709883878359,0.032794245246566156,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,17.23512979933905,0.0,1.0
sq1_local_returns,local,ring_lattice,0.15,False,0.0,0.0,0.0,0.0,1,1.2603487316825093,0.25206974633650175,10.082789853460074,2.016557970692014,0.17469497088118874,0.030518332851179383,0.07552586602348588,0.625,0.9544340029249649,2,0.525,1.0940292260618125,2.2,5.300000000000001,16.41721014653993,0.0,1.0
sq1_local_returns,local,ring_lattice,0.3,False,0.0,0.0,0.0,0.0,1,1.427943131141639,0.28558862622832776,11.423545049133113,2.284709009826622,0.3367964296967164,0.11343183505645525,0.13119493935423243,0.5,1.4056390622295662,3,0.5,1.1842702379227328,2.4,5.300000000000001,15.076454950866891,0.0,1.0
sq1_local_returns,local,ring_lattice,0.6,False,0.0,0.0,0.0,0.0,1,1.397848731682509,0.2795697463365018,11.182789853460072,2.2365579706920142,0.32720804266330256,0.10706510318354961,0.1235735585911879,0.625,0.9544340029249649,2,0.55,1.0629014136158994,2.2,5.300000000000001,15.317210146539932,0.0,1.0
sq1_local_returns,local,random_graph,0.0,False,0.0,0.0,0.0,0.0,1,3.0389688351658797,0.6077937670331759,24.311750681327037,4.862350136265407,0.7786788771268809,0.6063407936835801,0.14341344938990463,0.625,1.2987949406953985,3,0.5,1.540886800584993,3.2,5.300000000000001,2.188249318672966,0.0,1.0
sq1_local_returns,local,random_graph,0.15,False,0.0,0.0,0.0,0.0,1,2.628877751476052,0.5257755502952104,21.031022011808417,4.206204402361683,0.4387485064444752,0.1925002519072577,0.09031165871980829,0.5,1.0,2,0.425,1.5056390622295663,3.0,5.300000000000001,5.468977988191586,0.0,1.0
sq1_local_returns,local,random_graph,0.3,False,0.0,0.0,0.0,0.0,1,2.6288777514760517,0.5257755502952104,21.031022011808414,4.206204402361683,0.6906964335532572,0.477061563323189,0.14705696680803593,0.5,1.0,2,0.45,1.4933834373377397,3.0,5.300000000000001,5.46897798819159,0.0,1.0
sq1_local_returns,local,random_graph,0.6,False,0.0,0.0,0.0,0.0,1,2.815934546986852,0.5631869093973705,22.527476375894818,4.505495275178964,1.0381096909333034,1.0776717304096386,0.20384796709741138,0.625,0.9544340029249649,2,0.475,1.515398050368646,3.2,5.300000000000001,3.972523624105186,0.0,1.0
sq1_local_returns,local,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.0
sq1_local_returns,local,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,2.9508233937107504,0.5901646787421502,23.606587149686003,4.721317429937201,0.9168615686682581,0.8406351361008189,0.17449777926647703,0.375,1.9056390622295662,4,0.35,1.8433834373377398,3.8,5.300000000000001,2.893412850314,0.0,1.0
sq1_local_returns,local,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,2.950823393710751,0.5901646787421502,23.606587149686007,4.721317429937201,0.8544687693027347,0.7301168777137301,0.15316882549821287,0.375,1.9056390622295662,4,0.325,1.874511249783653,3.8,5.300000000000001,2.8934128503139966,0.0,1.0
sq1_local_returns,local,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,3.1440306149082478,0.6288061229816495,25.152244919265982,5.030448983853196,1.2579261994375512,1.5823783232314022,0.22232569667596835,0.375,1.9056390622295662,4,0.35,1.8433834373377398,3.8,5.300000000000001,1.3477550807340215,0.0,1.0
sq1_global_returns,global,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,2.9508233937107504,0.5901646787421502,23.606587149686003,4.721317429937201,0.9168615686682581,0.8406351361008189,0.17449777926647703,0.375,1.9056390622295662,4,0.35,1.8433834373377398,3.8,5.300000000000001,2.893412850314,0.0,1.0
sq1_global_returns,global,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,2.950823393710751,0.5901646787421502,23.606587149686007,4.721317429937201,0.8544687693027347,0.7301168777137301,0.15316882549821287,0.375,1.9056390622295662,4,0.325,1.874511249783653,3.8,5.300000000000001,2.8934128503139966,0.0,1.0
sq1_global_returns,global,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,3.1440306149082478,0.6288061229816495,25.152244919265982,5.030448983853196,1.2579261994375512,1.5823783232314022,0.22232569667596835,0.375,1.9056390622295662,4,0.35,1.8433834373377398,3.8,5.300000000000001,1.3477550807340215,0.0,1.0
