scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,0.7720665527551606,0.1544133105510321,6.1765324220412845,1.2353064844082569,1.1102230246251565e-16,1.232595164407831e-32,2.220446049250313e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,20.32346757795872,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.0
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.4287430048512781
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,1.1581087750826191,0.23162175501652382,9.264870200660953,1.8529740401321906,0.07595860638451946,0.005769709883878359,0.032794245246566156,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,17.23512979933905,0.0,1.0
sq3_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,1,1.1581087750826191,0.23162175501652382,9.264870200660953,1.8529740401321906,0.07595860638451946,0.005769709883878359,0.032794245246566156,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,17.23512979933905,0.0,1.1382381466537304
sq3_local_random_reputation,local,random_graph,0.0,True,0.0,0.0,0.0,1.0,1,3.0389688351658797,0.6077937670331759,24.311750681327037,4.862350136265407,0.7786788771268809,0.6063407936835801,0.14341344938990463,0.625,1.2987949406953985,3,0.5,1.540886800584993,3.2,5.300000000000001,2.188249318672966,0.0,1.1915934934921468
