scenario,communication_structure,network_topology,communication_noise,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std
sq1_global_baseline,global,fully_connected,0.0,5,3376.647233178243,32.98790266797481,0.8441618082945601,0.008246975666993618,6.753294466356481,0.06597580533594895,27013.177865425943,263.90322134379846,310.5867642586633,14.501843335156234,0.050994015889519864,0.0022075445155325286,22586.822134574057,263.90322134379846,0.30675,0.0018098040294462923,2.012192685080054,0.004870954003039467,4.24165,0.012641795758514669,0.275,0.05,2.081127812445913,0.1421234511371148,4.4,0.4898979485566356,0.0,0.0,1.0,0.0
sq1_global_returns,global,fully_connected,0.15,5,3386.473441467943,14.449280786869101,0.846618360366986,0.0036123201967173087,6.772946882935888,0.02889856157373847,27091.787531743543,115.59424629495281,314.6861413863896,7.289672415478863,0.05170065421371657,0.0012925435129161052,22508.212468256457,115.59424629495281,0.30921875,0.0022060817924546734,2.0089654136074273,0.003862017191782586,4.2382,0.008494704232638126,0.3,0.06123724356957945,1.9433834373377397,0.075488750216347,4,0.0,0.0,0.0,1.0,0.0
sq1_global_returns,global,fully_connected,0.3,5,3350.43115698865,20.471643917114733,0.8376077892471622,0.005117910979278414,6.700862313977297,0.040943287834227314,26803.4492559092,163.77315133691786,320.6420711873788,11.913788891290416,0.05348065070591037,0.0016018564000354878,22796.5507440908,163.77315133691786,0.31193750000000003,0.0014264521110082817,2.00751601414696,0.006103212652095551,4.2439,0.019635809125167315,0.3,0.06123724356957945,2.0122556248918264,0.08046925196765368,4.2,0.4,0.0,0.0,1.0,0.0
sq1_global_returns,global,fully_connected,0.6,5,3324.394539242379,13.514095351001625,0.8310986348105948,0.0033785238377503856,6.648789078484758,0.027028190702003085,26595.15631393903,108.112762808013,365.87447487694436,8.533179435066671,0.060913815599815055,0.0013405327528033428,23004.84368606097,108.112762808013,0.322575,0.0010163891356168627,1.987876923375433,0.00287690923538739,4.21435,0.007354590403278833,0.375,0.0,1.8178946871213928,0.13341144270521088,3.8,0.4,0.0,0.0,1.0,0.0
sq1_local_returns,local,fully_connected,0.0,5,3376.647233178243,32.98790266797481,0.8441618082945601,0.008246975666993618,6.753294466356481,0.06597580533594895,27013.177865425943,263.90322134379846,310.5867642586633,14.501843335156234,0.050994015889519864,0.0022075445155325286,22586.822134574057,263.90322134379846,0.30675,0.0018098040294462923,2.012192685080054,0.004870954003039467,4.24165,0.012641795758514669,0.275,0.05,2.081127812445913,0.1421234511371148,4.4,0.4898979485566356,0.0,0.0,1.0,0.0
sq1_local_returns,local,fully_connected,0.15,5,3386.473441467943,14.449280786869101,0.846618360366986,0.0036123201967173087,6.772946882935888,0.02889856157373847,27091.787531743543,115.59424629495281,314.6861413863896,7.289672415478863,0.05170065421371657,0.0012925435129161052,22508.212468256457,115.59424629495281,0.30921875,0.0022060817924546734,2.0089654136074273,0.003862017191782586,4.2382,0.008494704232638126,0.3,0.06123724356957945,1.9433834373377397,0.075488750216347,4,0.0,0.0,0.0,1.0,0.0
sq1_local_returns,local,fully_connected,0.3,5,3350.43115698865,20.471643917114733,0.8376077892471622,0.005117910979278414,6.700862313977297,0.040943287834227314,26803.4492559092,163.77315133691786,320.6420711873788,11.913788891290416,0.05348065070591037,0.0016018564000354878,22796.5507440908,163.77315133691786,0.31193750000000003,0.0014264521110082817,2.00751601414696,0.006103212652095551,4.2439,0.019635809125167315,0.3,0.06123724356957945,2.0122556248918264,0.08046925196765368,4.2,0.4,0.0,0.0,1.0,0.0
sq1_local_returns,local,fully_connected,0.6,5,3324.394539242379,13.514095351001625,0.8310986348105948,0.0033785238377503856,6.648789078484758,0.027028190702003085,26595.15631393903,108.112762808013,365.87447487694436,8.533179435066671,0.060913815599815055,0.0013405327528033428,23004.84368606097,108.112762808013,0.322575,0.0010163891356168627,1.987876923375433,0.00287690923538739,4.21435,0.007354590403278833,0.375,0.0,1.8178946871213928,0.13341144270521088,3.8,0.4,0.0,0.0,1.0,0.0
sq1_local_returns,local,random_graph,0.0,5,3090.5612461280584,149.07454872720234,0.7726403115320148,0.03726863718180101,6.181122492256119,0.2981490974544081,24724.489969024467,1192.5963898176187,558.233462392024,372.4925425639481,0.08920550561334162,0.042760737711816946,24875.510030975533,1192.5963898176187,0.41083749999999997,0.008101465916733837,1.814271427349774,0.06598261892244624,3.98285,0.1966253162743802,0.45,0.06123724356957945,1.7122556248918266,0.41692766212777205,3.8,1.1661903789690602,0.0,0.0,1.0,0.0
sq1_local_returns,local,random_graph,0.15,5,3051.2942512898717,157.23582626004577,0.7628235628224677,0.03930895656501099,6.102588502579741,0.3144716525200879,24410.354010318973,1257.8866100803662,484.20458873064854,338.084915103965,0.07609521531445669,0.03692586583092565,25189.645989681027,1257.8866100803662,0.4129625,0.006805311574424786,1.8013846418902277,0.05916051366338506,3.94395,0.17725873744332046,0.375,0.0,1.9867668746754796,0.2337416718092159,4.4,0.8,0.0,0.0,1.0,0.0
sq1_local_returns,local,random_graph,0.3,5,3037.6610571880205,158.5193541132676,0.7594152642970051,0.039629838528316925,6.075322114376041,0.3170387082265354,24301.288457504164,1268.1548329061409,515.8996003549845,342.2770402047381,0.08459827950399759,0.039992622280537043,25298.711542495836,1268.1548329061409,0.41496875,0.008731319344749678,1.7954482188012935,0.06380214895639974,3.93235,0.18503517233218125,0.425,0.06123724356957945,1.7056390622295663,0.2449489742783178,3.6,0.4898979485566356,0.0,0.0,1.0,0.0
sq1_local_returns,local,random_graph,0.6,5,3024.680130463326,191.48450859850277,0.7561700326158316,0.04787112714962562,6.049360260926653,0.38296901719700494,24197.441043706607,1531.8760687880222,439.7978100893836,361.3566220420371,0.06938739467941915,0.042360983856101854,25402.558956293393,1531.8760687880222,0.4193125,0.0088456601294081,1.7921993925727178,0.07479184852820601,3.9396,0.2218646884927837,0.425,0.06123724356957945,1.824511249783653,0.3183188461417846,4,0.8944271909999159,0.0,0.0,1.0,0.0
sq1_local_returns,local,ring_lattice,0.0,5,2857.222315449025,62.038599744589476,0.7143055788622563,0.015509649936147367,5.7144446308980505,0.12407719948917893,22857.7785235922,496.3087979567158,124.9011704595901,34.80162776129399,0.022848819441358838,0.005384777262308353,26742.2214764078,496.3087979567158,0.4106875,0.005700911385471621,1.7703216080249033,0.02756379677969421,3.81105,0.07484039684555403,0.375,0.0,1.8178946871213928,0.13341144270521096,3.8,0.4,0.0,0.0,1.0,0.0
sq1_local_returns,local,ring_lattice,0.15,5,2905.223943334727,67.37690276110008,0.7263059858336818,0.016844225690275345,5.810447886669454,0.13475380552220276,23241.791546677818,539.0152220888007,179.67496487746152,64.57177589633976,0.03127390234118699,0.009785430198958096,26358.208453322182,539.0152220888007,0.40309375,0.004871072135577541,1.8040075132797397,0.009615782000574754,3.8969,0.015075310942066756,0.375,0.07905694150420949,1.9433834373377397,0.2601938950118092,4.2,0.7483314773547883,0.0,0.0,1.0,0.0
sq1_local_returns,local,ring_lattice,0.3,5,2983.3476214822476,65.04034347169113,0.7458369053705618,0.01626008586792228,5.966695242964494,0.13008068694337824,23866.78097185798,520.322747773529,178.33887645913407,14.489386496346494,0.029381754506737322,0.002091883567196265,25733.21902814202,520.322747773529,0.39755,0.005789355803973368,1.8183569518461098,0.02251529088496428,3.92155,0.05502394933117755,0.375,0.0,1.9867668746754796,0.14212345113711475,4.4,0.4898979485566356,0.0,0.0,1.0,0.0
sq1_local_returns,local,ring_lattice,0.6,5,2932.041572896344,57.5752812114115,0.7330103932240858,0.01439382030285337,5.864083145792686,0.11515056242282697,23456.33258317075,460.602249691292,124.74468417396157,42.51562169802043,0.022483339393564082,0.007697264696193351,26143.66741682925,460.602249691292,0.40219375,0.006267301053882771,1.8134262252603142,0.023067788405201402,3.9262,0.05860255967105876,0.4,0.05,1.924511249783653,0.23990091766856533,4.2,0.7483314773547883,0.0,0.0,1.0,0.0
