scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,timestep,group_reward,mean_reward,most_popular_arm_share,choice_entropy,distinct_arms_chosen,arm_0_count,arm_0_share,arm_1_count,arm_1_share,arm_2_count,arm_2_share,arm_3_count,arm_3_share
sq1_local_returns,local,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_local_returns,local,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,3,3.474708829665106,0.43433860370813826,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
sq1_local_returns,local,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_local_returns,local,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_local_returns,local,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,3,3.474708829665106,0.43433860370813826,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
sq1_local_returns,local,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_local_returns,local,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_local_returns,local,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,3,5.531530174270467,0.6914412717838083,0.375,1.9056390622295662,4,1,0.125,2,0.25,2,0.25,3,0.375
sq1_global_returns,global,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,3,3.474708829665106,0.43433860370813826,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
sq1_global_returns,global,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,3,3.474708829665106,0.43433860370813826,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
sq1_global_returns,global,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,2,5.46024482634351,0.6825306032929388,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
sq1_global_returns,global,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,3,5.531530174270467,0.6914412717838083,0.375,1.9056390622295662,4,1,0.125,2,0.25,2,0.25,3,0.375
