scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,77.02708174173846,0.19256770435434611,616.2166539339077,1.540541634834769,1.4210854715202004e-14,2.0194839173657902e-28,-4.440892098500626e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,1503.7833460660927,0.0,1.0
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,7,74.88647320471021,0.1872161830117755,599.0917856376817,1.497729464094204,1.4210854715202004e-14,2.0194839173657902e-28,-2.220446049250313e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,1520.9082143623186,0.0,1.0
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,21,75.73076668876276,0.18932691672190688,605.846133510102,1.514615333775255,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,1514.1538664898985,0.0,1.0
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,42,74.92862391025461,0.18732155977563658,599.4289912820369,1.4985724782050927,1.4210854715202004e-14,2.0194839173657902e-28,2.220446049250313e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,1520.5710087179637,0.0,1.0
sq3_pure_ucb,none,fully_connected,0.0,False,0.0,0.0,0.0,0.0,84,74.16699632245394,0.18541749080613484,593.3359705796315,1.4833399264490787,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,1526.664029420369,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,246.36594941317668,0.6159148735329419,1970.9275953054134,4.9273189882635355,24.714823096994945,610.8224807157548,0.05419699778191611,0.375,1.9056390622295662,4,0.3809375,1.7633219431559943,3.6275,5.300000000000001,149.07240469458702,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,7,250.114933661683,0.6252873341542081,2000.919469293464,5.002298673233665,30.19188894710796,911.5501581944998,0.06793492605845541,0.375,1.9056390622295662,4,0.39375,1.7400083934890793,3.6,5.300000000000001,119.08053070653636,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,21,243.26418286100622,0.6081604571525151,1946.1134628880498,4.865283657220121,29.996636823411794,899.7982207156643,0.06650763911051838,0.375,1.9056390622295662,4,0.3859375,1.7484655437639685,3.605,5.300000000000001,173.8865371119507,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,42,244.1452513635155,0.6103631284087879,1953.162010908124,4.882905027270303,22.023807799788017,485.04811000200345,0.04924081353796317,0.375,1.9056390622295662,4,0.3825,1.745134527237176,3.575,5.300000000000001,166.83798909187635,0.0,1.0
sq3_global_information,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,84,246.30505407403632,0.615762635185091,1970.4404325922906,4.926101081480728,31.104501643030844,967.4900224613084,0.0707157183040823,0.375,1.8112781244591325,4,0.3965625,1.740218536180914,3.605,5.300000000000001,149.5595674077099,0.0,1.0
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,1,247.32164929089163,0.6183041232272296,1978.573194327133,4.946432985817837,24.231912981307545,587.1856067336612,0.05408154900274598,0.375,1.5612781244591325,3,0.38625,1.7549732595669771,3.6175,5.300000000000001,141.42680567286743,0.0,1.85695996161558
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,7,252.4784569863292,0.6311961424658226,2019.8276558906337,5.0495691397265805,27.18358039888357,738.9470433025671,0.06017833808547213,0.375,1.9056390622295662,4,0.385,1.7698322830112365,3.66,5.300000000000001,100.1723441093668,0.0,1.8243004161802594
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,21,241.4841822790844,0.6037104556977113,1931.8734582326751,4.8296836455816905,27.669269200950044,765.5884581146428,0.06354717157487122,0.375,1.9056390622295662,4,0.388125,1.7517736248927505,3.615,5.300000000000001,188.1265417673253,0.0,1.8626919407982407
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,42,253.19653522740396,0.63299133806851,2025.5722818192316,5.06393070454808,32.5816381364266,1061.563143653048,0.07228020534596791,0.5,1.4056390622295662,3,0.386875,1.7444200497553053,3.59,5.300000000000001,94.4277181807688,0.0,1.8263662995777394
sq3_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,84,249.7293783213643,0.6243234458034104,1997.8350265709144,4.994587566427283,26.01928158105797,677.0030139943825,0.05703894330128323,0.375,1.9056390622295662,4,0.38375,1.776837342722026,3.685,5.300000000000001,122.1649734290861,0.0,1.835762458575424
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,197.83680642513588,0.49459201606283953,1582.694451401087,3.9567361285027163,11.027774122281901,121.61180209207035,0.03138007910285068,0.5,1.5,3,0.5590625,1.2824611875640712,2.82,5.300000000000001,537.3055485989134,0.0,1.0
sq3_local_information,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,7,197.36129620262105,0.4934032405065525,1578.8903696209684,3.94722592405242,18.142284843444443,329.1424993406739,0.04893436835618581,0.75,1.061278124459133,3,0.556875,1.2726580538098171,2.795,5.300000000000001,541.1096303790321,0.0,1.0
