scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_global_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.0
sq2_global_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.4287430048512781
sq2_local_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,1.1581087750826191,0.23162175501652382,9.264870200660953,1.8529740401321906,0.07595860638451946,0.005769709883878359,0.032794245246566156,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,17.23512979933905,0.0,1.0
sq2_local_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,1,1.1581087750826191,0.23162175501652382,9.264870200660953,1.8529740401321906,0.07595860638451946,0.005769709883878359,0.032794245246566156,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,17.23512979933905,0.0,1.1382381466537304
