scenario,communication_structure,network_topology,use_reputation,reputation_learning_rate,malicious_agent_ratio,lying_probability,lie_magnitude,n_runs,average_cumulative_return_mean,average_cumulative_return_std,average_reward_over_time_mean,average_reward_over_time_std,average_group_reward_per_timestep_mean,average_group_reward_per_timestep_std,final_group_performance_mean,final_group_performance_std,cumulative_return_std_mean,cumulative_return_std_std,gini_coefficient_mean,gini_coefficient_std,expected_regret_mean,expected_regret_std,mean_most_popular_arm_share_mean,mean_most_popular_arm_share_std,mean_choice_entropy_mean,mean_choice_entropy_std,mean_distinct_arms_chosen_mean,mean_distinct_arms_chosen_std,final_most_popular_arm_share_mean,final_most_popular_arm_share_std,final_choice_entropy_mean,final_choice_entropy_std,final_distinct_arms_chosen_mean,final_distinct_arms_chosen_std,mean_lie_rate_mean,mean_lie_rate_std,final_mean_reputation_mean,final_mean_reputation_std
sq2_lr_global_clean_lr_0.05,global,fully_connected,True,0.05,0.0,0.0,0.0,5,3377.8573779801723,25.364775465202747,0.8444643444950429,0.0063411938663010484,6.755714755960343,0.05072955093040839,27022.859023841378,202.91820372162198,300.72477390179756,12.943401753032768,0.049144843055290766,0.0022013165559077847,22577.140976158622,202.91820372162198,0.30736874999999997,0.0016783781233679173,2.0108927075188427,0.0054833898238629865,4.239,0.016504544828622292,0.35,0.05,1.924511249783653,0.0377443751081735,4,0.0,0.0,0.0,1.7115844712013626,0.009397836449448266
sq2_lr_global_clean_lr_0.1,global,fully_connected,True,0.1,0.0,0.0,0.0,5,3393.392347040779,10.224932863074999,0.8483480867601947,0.0025562332157692265,6.7867846940815575,0.020449865726153812,27147.138776326232,81.79946290459999,303.24488890971696,5.348203707912648,0.04966593073503569,0.0010725552968813713,22452.861223673768,81.79946290459999,0.30608124999999997,0.000829533001151858,2.0157010162725206,0.0046546592392273526,4.25275,0.01644764420821408,0.325,0.06123724356957945,1.974511249783653,0.1501169794017568,4.2,0.4,0.0,0.0,1.6993927330419212,0.007998769688994415
sq2_lr_global_clean_lr_0.25,global,fully_connected,True,0.25,0.0,0.0,0.0,5,3376.169121279571,28.920131310239515,0.8440422803198925,0.007230032827559753,6.75233824255914,0.057840262620478027,27009.352970236567,231.36105048191612,297.7672172991717,19.162218904267014,0.04874746336230227,0.003600272705385629,22590.647029763433,231.36105048191612,0.3060375,0.001701378117879735,2.0139067118198417,0.00523864031364443,4.24525,0.01548063306199068,0.25,0.0,2.15,0.1224744871391589,4.6,0.4898979485566356,0.0,0.0,1.7060012601076302,0.0237736175653978
sq2_lr_global_clean_lr_0.5,global,fully_connected,True,0.5,0.0,0.0,0.0,5,3380.390109922597,10.45940255472632,0.8450975274806488,0.002614850638681782,6.7607802198451905,0.020918805109454257,27043.120879380775,83.67522043781057,299.90346876582566,8.520819525190372,0.04894887329762918,0.0018611024807309597,22556.879120619225,83.67522043781057,0.3047875,0.001084586614798469,2.018504982759343,0.004734855468098816,4.25995,0.01579984177135968,0.325,0.06123724356957945,2.0433834373377397,0.16870171697677475,4.4,0.4898979485566356,0.0,0.0,1.7380318067946716,0.022410902578987923
sq2_lr_global_clean_lr_0.75,global,fully_connected,True,0.75,0.0,0.0,0.0,5,3379.5383810678836,14.555195368089603,0.8448845952669708,0.003638798842022076,6.759076762135766,0.02911039073617661,27036.30704854307,116.44156294471682,307.5557398134365,6.7243661596555295,0.05063021374795542,0.0011649551383119353,22563.69295145693,116.44156294471682,0.30589375,0.00043642725625241195,2.0136615612716553,0.002720774117275212,4.2453,0.008513812307068823,0.275,0.05,2.081127812445913,0.1421234511371148,4.4,0.4898979485566356,0.0,0.0,1.758742231372256,0.007949290825297635
sq2_lr_global_clean_no_reputation,global,fully_connected,False,0.0,0.0,0.0,0.0,5,3376.647233178243,32.98790266797481,0.8441618082945601,0.008246975666993618,6.753294466356481,0.06597580533594895,27013.177865425943,263.90322134379846,310.5867642586633,14.501843335156234,0.050994015889519864,0.0022075445155325286,22586.822134574057,263.90322134379846,0.30675,0.0018098040294462923,2.012192685080054,0.004870954003039467,4.24165,0.012641795758514669,0.275,0.05,2.081127812445913,0.1421234511371148,4.4,0.4898979485566356,0.0,0.0,1.0,0.0
sq2_lr_global_malicious_lr_0.05,global,fully_connected,True,0.05,0.25,0.7,1.0,5,3156.389962379433,31.250427221430943,0.7890974905948582,0.007812606805357475,6.312779924758866,0.0625008544428598,25251.119699035466,250.00341777144754,306.24881347537416,73.4418662108727,0.054137716289897365,0.013175463091227902,24348.880300964534,250.00341777144754,0.33885625,0.008940528333102021,1.910293083097721,0.01385699447018778,3.9735,0.026138094804327355,0.3,0.06123724356957945,1.8933834373377398,0.17002671171638517,3.8,0.4,0.1746125,0.0022528280837649383,1.6077924323313866,0.01381676996694739
sq2_lr_global_malicious_lr_0.1,global,fully_connected,True,0.1,0.25,0.7,1.0,5,3147.0144430920222,42.204148043059966,0.7867536107730062,0.010551037010764772,6.29402888618405,0.08440829608611818,25176.115544736178,337.63318434447973,306.0326332890573,74.72546468880005,0.053947537317163306,0.012933034828280033,24423.884455263822,337.63318434447973,0.33685625,0.009166783616678206,1.9194069640018891,0.013210483816651644,3.998,0.019714208074381255,0.3,0.06123724356957945,1.9433834373377399,0.22264487185496265,4,0.6324555320336759,0.17454375,0.001776759691123137,1.62780118894196,0.010265413007942339
sq2_lr_global_malicious_lr_0.25,global,fully_connected,True,0.25,0.25,0.7,1.0,5,3168.575345325421,37.65360393275469,0.7921438363313554,0.009413400983188646,6.3371506906508435,0.07530720786550917,25348.60276260337,301.22883146203753,303.2842085357849,68.95719564670216,0.053230749914544614,0.012657542587612853,24251.39723739663,301.22883146203753,0.33644375,0.009182085989850037,1.9189157983752665,0.012789953158903248,3.9956,0.01814841590883336,0.35,0.05,1.974511249783653,0.09765971071479698,4.2,0.4,0.17483125,0.001732118464482151,1.6373539981321497,0.02355938636186543
sq2_lr_global_malicious_lr_0.5,global,fully_connected,True,0.5,0.25,0.7,1.0,5,3166.218395581465,45.56648706098793,0.7915545988953658,0.011391621765246768,6.332436791162927,0.09113297412197414,25329.74716465172,364.53189648790345,299.5035947734623,73.41626216427731,0.05295683764244323,0.012684610591938364,24270.25283534828,364.53189648790345,0.33621875,0.009206888555587054,1.9195961181425547,0.015238200913999836,3.9973,0.02981752840193164,0.35,0.05,1.9056390622295662,0.1949299576971421,4,0.6324555320336759,0.1739875,0.0011212785670831258,1.6108605259633297,0.06017984902574893
